(5812,0.6080290192717669)
(16925,1.1248536856527687)
(17707,0.6080290192717669)
(10174,1.1248536856527687)
(19935,0.6080290192717669)
(2670,1.1248536856527687)
(21204,1.1248536856527687)
(307,1.1248536856527687)
(7198,0.6080290192717669)
(1900,0.6080290192717669)
(1666,0.6080290192717669)
(4926,0.6080290192717669)
(18320,0.6080290192717669)
(235,1.1248536856527687)
(518,0.6080290192717669)
(16515,0.6080290192717669)
(1471,0.6080290192717669)
(828,0.6080290192717669)
(8026,1.297128574446436)
(5814,1.1248536856527687)
(9641,1.1248536856527687)
(16201,1.1248536856527687)
(247,1.1248536856527687)
(18187,1.1248536856527687)
(2434,1.1248536856527687)
(931,0.8664413524622679)
(7918,0.6080290192717669)
(11673,0.6080290192717669)
(5874,1.1248536856527687)
(7610,1.1248536856527687)
(21234,0.6080290192717669)
(5190,1.1248536856527687)
(4939,0.6080290192717669)
(2362,1.1248536856527687)
(2443,0.6080290192717669)
(4287,0.6080290192717669)
(3029,0.6080290192717669)
(18327,1.1248536856527687)
(16853,1.1248536856527687)
(3205,0.7803039080654343)
(9195,0.6080290192717669)
(11614,0.6080290192717669)
(9396,1.1248536856527687)
(8003,1.1248536856527687)
(2131,1.1248536856527687)
(2138,0.6080290192717669)
(974,0.6080290192717669)
(11721,1.1248536856527687)
(1695,1.1248536856527687)
(6583,0.6080290192717669)
(19172,1.1248536856527687)
(3360,0.6080290192717669)
(13251,1.1248536856527687)
(5074,0.8664413524622679)
(2238,1.1248536856527687)
(21632,0.6080290192717669)
(6282,9.21478002507181)
(25128,0.6080290192717669)
(3535708,0.6080290192717669)
(7611,0.6080290192717669)
(5035,0.6080290192717669)
(2937,0.6080290192717669)
(5507,1.1248536856527687)
(3477,0.7803039080654343)
(2338,0.6080290192717669)
(12048,0.6080290192717669)
(5542,0.8664413524622679)
(1196,1.1248536856527687)
(9661,0.6080290192717669)
(17156,1.5641546520766203)
(6770,0.7803039080654343)
(12405,0.8664413524622679)
(5004,0.6080290192717669)
(96,0.6080290192717669)
(338,0.6080290192717669)
(7927,1.1248536856527687)
(18228,0.6080290192717669)
(17147,0.6080290192717669)
(10402,0.6080290192717669)
(18333,0.6080290192717669)
(9636,1.641678352033771)
(1190,1.5641546520766203)
(8297,1.1248536856527687)
(2965,0.8664413524622679)
(4216,0.6080290192717669)
(12677,0.7803039080654343)
(8819,0.6080290192717669)
(11827,0.6080290192717669)
(7888,1.1248536856527687)
(2041950,0.6080290192717669)
(1650,0.6080290192717669)
(3253,0.8664413524622679)
(4794,1.1248536856527687)
(10873,1.1248536856527687)
(16050,0.6080290192717669)
(108465,0.6080290192717669)
(27524,0.6080290192717669)
(122,1.1248536856527687)
(2598,1.641678352033771)
(7199,0.6080290192717669)
(23012,0.6080290192717669)
(3535,0.6080290192717669)
(4857,0.6080290192717669)
(5885,0.6080290192717669)
(13940,1.5641546520766203)
(7780,0.6080290192717669)
(8049,1.1248536856527687)
(15100,0.6080290192717669)
(13531,0.6080290192717669)
(3803,1.1248536856527687)
(2309,1.1248536856527687)
(7686,1.1248536856527687)
(14089,1.1248536856527687)
(3434,1.1248536856527687)
(1288,1.1248536856527687)
(6760,1.1248536856527687)
(6449,0.8664413524622679)
(8118,0.6080290192717669)
(3474,1.1248536856527687)
(3576,0.6080290192717669)
(1113,0.6080290192717669)
(13792,0.8664413524622679)
(372,1.1248536856527687)
(7595,1.1248536856527687)
(7441,0.7803039080654343)
(20654,1.1248536856527687)
(6618,0.6080290192717669)
(1247,9.770276524178255)
(15452,1.1248536856527687)
(6466,0.8664413524622679)
(4995,1.1248536856527687)
(2197,1.1248536856527687)
(2328,0.6080290192717669)
(13107,1.1248536856527687)
(18103,0.6080290192717669)
(8217,0.6080290192717669)
(1432,1.3832660188432695)
(1996,1.1248536856527687)
(14540,0.8664413524622679)
(9190,1.1248536856527687)
(20630,1.1248536856527687)
(6180,0.6080290192717669)
(998,0.6080290192717669)
(16399,0.6080290192717669)
(3093,1.1248536856527687)
