(5812,1.0000000000000044)
(16925,1.0000000000000044)
(17707,1.0000000000000044)
(10174,1.0000000000000044)
(19935,1.0000000000000044)
(2670,1.0000000000000044)
(21204,1.0000000000000044)
(307,1.0000000000000044)
(7198,1.0000000000000044)
(1900,1.0000000000000044)
(1666,1.0000000000000044)
(4926,1.0000000000000044)
(18320,1.0000000000000044)
(235,1.0000000000000044)
(518,1.0000000000000044)
(16515,1.0000000000000044)
(1471,1.0000000000000044)
(828,1.0000000000000044)
(8026,1.0000000000000044)
(5814,1.0000000000000044)
(9641,1.0000000000000044)
(16201,1.0000000000000044)
(247,1.0000000000000044)
(18187,1.0000000000000044)
(2434,1.0000000000000044)
(931,1.0000000000000044)
(7918,1.0000000000000044)
(11673,1.0000000000000044)
(5874,1.0000000000000044)
(7610,1.0000000000000044)
(21234,1.0000000000000044)
(5190,1.0000000000000044)
(4939,1.0000000000000044)
(2362,1.0000000000000044)
(2443,1.0000000000000044)
(4287,1.0000000000000044)
(3029,1.0000000000000044)
(18327,1.0000000000000044)
(16853,1.0000000000000044)
(3205,1.0000000000000044)
(9195,1.0000000000000044)
(11614,1.0000000000000044)
(9396,1.0000000000000044)
(8003,1.0000000000000044)
(2131,1.0000000000000044)
(2138,1.0000000000000044)
(974,1.0000000000000044)
(11721,1.0000000000000044)
(1695,1.0000000000000044)
(6583,1.0000000000000044)
(19172,1.0000000000000044)
(3360,1.0000000000000044)
(13251,1.0000000000000044)
(5074,1.0000000000000044)
(2238,1.0000000000000044)
(21632,1.0000000000000044)
(6282,1.0000000000000044)
(25128,1.0000000000000044)
(3535708,1.0000000000000044)
(7611,1.0000000000000044)
(5035,1.0000000000000044)
(2937,1.0000000000000044)
(5507,1.0000000000000044)
(3477,1.0000000000000044)
(2338,1.0000000000000044)
(12048,1.0000000000000044)
(5542,1.0000000000000044)
(1196,1.0000000000000044)
(9661,1.0000000000000044)
(17156,1.0000000000000044)
(6770,1.0000000000000044)
(12405,1.0000000000000044)
(5004,1.0000000000000044)
(96,1.0000000000000044)
(338,1.0000000000000044)
(7927,1.0000000000000044)
(18228,1.0000000000000044)
(17147,1.0000000000000044)
(10402,1.0000000000000044)
(18333,1.0000000000000044)
(9636,1.0000000000000044)
(1190,1.0000000000000044)
(8297,1.0000000000000044)
(2965,1.0000000000000044)
(4216,1.0000000000000044)
(12677,1.0000000000000044)
(8819,1.0000000000000044)
(11827,1.0000000000000044)
(7888,1.0000000000000044)
(2041950,1.0000000000000044)
(1650,1.0000000000000044)
(3253,1.0000000000000044)
(4794,1.0000000000000044)
(10873,1.0000000000000044)
(16050,1.0000000000000044)
(108465,1.0000000000000044)
(27524,1.0000000000000044)
(122,1.0000000000000044)
(2598,1.0000000000000044)
(7199,1.0000000000000044)
(23012,1.0000000000000044)
(3535,1.0000000000000044)
(4857,1.0000000000000044)
(5885,1.0000000000000044)
(13940,1.0000000000000044)
(7780,1.0000000000000044)
(8049,1.0000000000000044)
(15100,1.0000000000000044)
(13531,1.0000000000000044)
(3803,1.0000000000000044)
(2309,1.0000000000000044)
(7686,1.0000000000000044)
(14089,1.0000000000000044)
(3434,1.0000000000000044)
(1288,1.0000000000000044)
(6760,1.0000000000000044)
(6449,1.0000000000000044)
(8118,1.0000000000000044)
(3474,1.0000000000000044)
(3576,1.0000000000000044)
(1113,1.0000000000000044)
(13792,1.0000000000000044)
(372,1.0000000000000044)
(7595,1.0000000000000044)
(7441,1.0000000000000044)
(20654,1.0000000000000044)
(6618,1.0000000000000044)
(1247,1.0000000000000044)
(15452,1.0000000000000044)
(6466,1.0000000000000044)
(4995,1.0000000000000044)
(2197,1.0000000000000044)
(2328,1.0000000000000044)
(13107,1.0000000000000044)
(18103,1.0000000000000044)
(8217,1.0000000000000044)
(1432,1.0000000000000044)
(1996,1.0000000000000044)
(14540,1.0000000000000044)
(9190,1.0000000000000044)
(20630,1.0000000000000044)
(6180,1.0000000000000044)
(998,1.0000000000000044)
(16399,1.0000000000000044)
(3093,1.0000000000000044)
(16947,1.0000000000000044)
(19784,1.0000000000000044)
(27358,1.0000000000000044)
(19888,1.0000000000000044)
(80075,1.0000000000000044)
(1915,1.0000000000000044)
(268,1.0000000000000044)
(16779,1.0000000000000044)
(4192,1.0000000000000044)
(27344,1.0000000000000044)
(6414,1.0000000000000044)
(4315,1.0000000000000044)
(18796,1.0000000000000044)
(15231,1.0000000000000044)
(23275,1.0000000000000044)
(25458,1.0000000000000044)
(13051,1.0000000000000044)
(16035,1.0000000000000044)
(22221,1.0000000000000044)
(25332,1.0000000000000044)
(18528,1.0000000000000044)
(16414,1.0000000000000044)
(19624,1.0000000000000044)
(142,1.0000000000000044)
(6340,1.0000000000000044)
(14637,1.0000000000000044)
(13581,1.0000000000000044)
(172,1.0000000000000044)
(1965,1.0000000000000044)
(2018,1.0000000000000044)
(1119,1.0000000000000044)
(10675,1.0000000000000044)
(13757,1.0000000000000044)
(22116,1.0000000000000044)
(19907,1.0000000000000044)
(14013,1.0000000000000044)
(797,1.0000000000000044)
(8020,1.0000000000000044)
(304,1.0000000000000044)
(98102,1.0000000000000044)
(3295,1.0000000000000044)
(85,1.0000000000000044)
(8252,1.0000000000000044)
(287,1.0000000000000044)
(2628,1.0000000000000044)
(4138,1.0000000000000044)
(4725,1.0000000000000044)
(3653,1.0000000000000044)
(475,1.0000000000000044)
(3030,1.0000000000000044)
(9910,1.0000000000000044)
(883,1.0000000000000044)
(765,1.0000000000000044)
(3335,1.0000000000000044)
(10171,1.0000000000000044)
(6918,1.0000000000000044)
