(5812,0.5757067149997817)
(16925,1.065057422749596)
(17707,0.5757067149997817)
(10174,1.065057422749596)
(19935,0.5757067149997817)
(2670,1.065057422749596)
(21204,1.065057422749596)
(307,1.065057422749596)
(7198,0.5757067149997817)
(1900,0.5757067149997817)
(1666,0.5757067149997817)
(4926,0.5757067149997817)
(18320,0.5757067149997817)
(235,1.065057422749596)
(518,0.5757067149997817)
(16515,0.5757067149997817)
(1471,0.5757067149997817)
(828,0.5757067149997817)
(8026,1.2281743253328674)
(5814,1.065057422749596)
(9641,1.065057422749596)
(16201,1.065057422749596)
(247,1.065057422749596)
(18187,1.065057422749596)
(2434,1.065057422749596)
(931,1.0010365731032367)
(7918,0.5757067149997817)
(11673,0.5757067149997817)
(5874,1.065057422749596)
(7610,1.065057422749596)
(21234,0.5757067149997817)
(5190,1.065057422749596)
(4939,0.5757067149997817)
(2362,1.065057422749596)
(2443,0.5757067149997817)
(4287,0.5757067149997817)
(3029,0.5757067149997817)
(18327,1.065057422749596)
(16853,1.065057422749596)
(3205,0.7388236175830531)
(9195,0.5757067149997817)
(11614,0.5757067149997817)
(9396,1.065057422749596)
(8003,1.065057422749596)
(2131,1.065057422749596)
(2138,0.5757067149997817)
(974,0.5757067149997817)
(11721,1.065057422749596)
(1695,1.065057422749596)
(6583,0.5757067149997817)
(19172,1.065057422749596)
(3360,0.5757067149997817)
(13251,1.065057422749596)
(5074,0.8203820688746889)
(2238,1.065057422749596)
(21632,0.5757067149997817)
(6282,10.360629483239457)
(25128,0.5757067149997817)
(3535708,0.5757067149997817)
(7611,0.5757067149997817)
(5035,0.5757067149997817)
(2937,0.5757067149997817)
(5507,1.065057422749596)
(3477,0.7388236175830531)
(2338,0.5757067149997817)
(12048,0.5757067149997817)
(5542,0.8203820688746889)
(1196,1.273031473543267)
(9661,0.5757067149997817)
(17156,1.4810055243369382)
(6770,0.7388236175830531)
(12405,0.8203820688746889)
(5004,0.5757067149997817)
(96,0.5757067149997817)
(338,0.5757067149997817)
(7927,1.065057422749596)
(18228,0.5757067149997817)
(17147,0.5757067149997817)
(10402,0.5757067149997817)
(18333,0.5757067149997817)
(9636,1.5544081304994106)
(1190,1.4810055243369382)
(8297,1.065057422749596)
(2965,1.0010365731032367)
(4216,0.5757067149997817)
(12677,0.7388236175830531)
(8819,0.5757067149997817)
(11827,0.5757067149997817)
(7888,1.065057422749596)
(2041950,0.5757067149997817)
(1650,0.5757067149997817)
(3253,0.8203820688746889)
(4794,1.065057422749596)
(10873,1.065057422749596)
(16050,0.5757067149997817)
(108465,0.5757067149997817)
(27524,0.5757067149997817)
(122,1.065057422749596)
(2598,1.5544081304994106)
(7199,0.5757067149997817)
(23012,0.5757067149997817)
(3535,0.5757067149997817)
(4857,0.5757067149997817)
(5885,0.5757067149997817)
(13940,1.4810055243369382)
(7780,0.5757067149997817)
(8049,1.065057422749596)
(15100,0.5757067149997817)
(13531,0.5757067149997817)
(3803,1.065057422749596)
(2309,1.065057422749596)
(7686,1.065057422749596)
(14089,1.065057422749596)
(3434,1.065057422749596)
(1288,1.065057422749596)
(6760,1.065057422749596)
(6449,0.8203820688746889)
(8118,0.5757067149997817)
(3474,1.065057422749596)
(3576,0.5757067149997817)
(1113,0.5757067149997817)
(13792,1.0010365731032367)
(372,1.065057422749596)
(7595,1.065057422749596)
(7441,0.7388236175830531)
(20654,1.065057422749596)
(6618,0.5757067149997817)
(1247,10.795724078281363)
(15452,1.065057422749596)
(6466,0.8203820688746889)
(4995,1.065057422749596)
(2197,1.065057422749596)
(2328,0.5757067149997817)
(13107,1.065057422749596)
(18103,0.5757067149997817)
(8217,0.5757067149997817)
(1432,1.309732776624503)
(1996,1.065057422749596)
(14540,0.8203820688746889)
(9190,1.065057422749596)
(20630,1.065057422749596)
(6180,0.5757067149997817)
(998,0.5757067149997817)
(16399,0.5757067149997817)
(3093,1.065057422749596)
(16947,0.5757067149997817)
(19784,1.065057422749596)
(27358,0.5757067149997817)
(19888,0.5757067149997817)
(80075,1.065057422749596)
(1915,0.5757067149997817)
(268,1.065057422749596)
(16779,1.065057422749596)
(4192,1.065057422749596)
(27344,0.5757067149997817)
(6414,1.065057422749596)
(4315,0.5757067149997817)
(18796,1.065057422749596)
(15231,0.5757067149997817)
(23275,0.5757067149997817)
(25458,0.5757067149997817)
(13051,1.065057422749596)
(16035,1.065057422749596)
(22221,1.065057422749596)
(25332,1.4810055243369382)
(18528,1.065057422749596)
(16414,1.6889795751306091)
(19624,1.065057422749596)
(142,0.5757067149997817)
(6340,0.5757067149997817)
(14637,1.065057422749596)
(13581,0.5757067149997817)
(172,0.5757067149997817)
(1965,0.5757067149997817)
(2018,0.5757067149997817)
(1119,0.5757067149997817)
(10675,0.5757067149997817)
(13757,1.273031473543267)
(22116,0.5757067149997817)
(19907,1.065057422749596)
(14013,0.5757067149997817)
(797,1.065057422749596)
(8020,0.7388236175830531)
(304,2.1334731346700244)
(98102,1.065057422749596)
(3295,0.8203820688746889)
(85,0.5757067149997817)
(8252,1.065057422749596)
(287,0.5757067149997817)
(2628,0.5757067149997817)
(4138,0.5757067149997817)
(4725,1.309732776624503)
(3653,1.065057422749596)
(475,1.065057422749596)
(3030,0.5757067149997817)
(9910,1.065057422749596)
(883,1.065057422749596)
(765,0.5757067149997817)
(3335,3.8358701604804604)
(10171,0.5757067149997817)
(6918,1.065057422749596)
(3087,8.72950146499025)
(20481,1.0010365731032367)
(24468,1.2037067899453768)
(2954,1.065057422749596)
(4110,0.5757067149997817)
(6044,3.8358701604804604)
(23447,0.5757067149997817)
(12815,3.8358701604804604)
(16253,0.5757067149997817)
(422,0.7388236175830531)
(6992,0.5757067149997817)
(4728,0.5757067149997817)
(3561,0.5757067149997817)
(26310,1.065057422749596)
(17123,1.309732776624503)
(7524,0.5757067149997817)
(2635682,1.065057422749596)
(10559,0.5757067149997817)
(22763,0.5757067149997817)
(13812,0.5757067149997817)
(14047,3.8358701604804604)
(23126,0.5757067149997817)
(12297,0.8203820688746889)
(7647,1.065057422749596)
(27,0.5757067149997817)
(10973,1.065057422749596)
(1088,1.065057422749596)
(1992,0.5757067149997817)
(739,1.065057422749596)
(3415,0.5757067149997817)
(13183,1.065057422749596)
(7193,1.065057422749596)
(16219,1.065057422749596)
(21679,0.8203820688746889)
(18174,0.5757067149997817)
(12139,0.8203820688746889)
(4893,0.5757067149997817)
(24582,1.065057422749596)
(14788,0.5757067149997817)
(234,0.8203820688746889)
(11142,1.065057422749596)
